Price,Close,High,Low,Open,Volume
Ticker,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS
Date,,,,,
2003-12-02,303.35980224609375,314.944971497359,298.72573978338477,313.2286501268012,4496428
2003-12-03,307.1355895996094,312.28455179302773,303.78876941168267,305.8483490512548,3993295
2003-12-04,310.9974060058594,313.05698627298744,304.8615627602341,307.4360446413902,4952879
2003-12-05,303.9605407714844,314.94498763012837,302.2442193130096,312.885407117756,3310018
2003-12-08,304.9044189453125,310.65410484201374,298.33949627691686,305.50514177833395,2681496
2003-12-09,314.4300231933594,317.9484867187315,305.6768012157065,308.93780086030586,2685187
2003-12-10,314.6445617675781,319.5360873991251,311.72682112287544,316.2321640296754,3588806
2003-12-11,312.71368408203125,317.8626471334005,310.6541040992796,317.519388167772,2250383
2003-12-12,311.94134521484375,314.9449069982054,306.36330190288646,314.68746932093796,3012320
2003-12-15,309.5814208984375,314.7732817920355,307.6505596454327,312.79952298677887,2126368
2003-12-16,306.6207580566406,310.2250428894553,303.01649941280795,310.2250428894553,2089553
2003-12-17,306.32037353515625,312.11295639172454,304.775669060018,306.36327108072487,2851693
2003-12-18,312.0272216796875,313.5290028369298,305.247757693362,308.0796773999964,2281018
2003-12-19,308.3800048828125,314.81620913309115,306.92112144382315,314.47295014420604,2514435
2003-12-22,307.22149658203125,310.48249640535334,305.67681796866464,308.079657187009,2007570
2003-12-23,307.9509582519531,321.8531452383791,306.79243612250474,310.6541590946761,2799280
2003-12-24,304.9044189453125,311.4264440637696,303.40263805173925,309.3668640760938,3127028
2003-12-25,304.9044189453125,304.9044189453125,304.9044189453125,304.9044189453125,0
2003-12-26,316.918701171875,318.33468712229893,306.3633361986087,309.7101573226456,3181691
2003-12-29,328.46099853515625,329.53369937949054,318.37761059841404,318.37761059841404,3242665
2003-12-30,318.5492248535156,332.0223305456575,315.3740201613321,332.0223305456575,2283787
2003-12-31,321.9819030761719,325.2429032399223,316.06057333248845,320.69466203432523,2088465
2004-01-01,321.76727294921875,327.345315904489,321.0378313249646,324.384651860331,2154224
2004-01-02,326.4442443847656,330.99251068437735,323.69814653665975,324.1272267806431,2620056
2004-01-05,326.4013977050781,335.025901477667,325.24287562797326,328.675518114812,2978921
2004-01-06,317.5623474121094,330.1344222561632,313.7435481205005,326.1439541649185,1485287
2004-01-07,327.8601989746094,330.3917828512693,312.7994931150329,319.83641948511917,2860924
2004-01-08,343.56463623046875,347.51218062791696,331.4216677489046,331.4216677489046,3536049
2004-01-09,377.3332214355469,384.45594384821305,348.41319911244307,351.84584146823073,7713917
2004-01-12,359.5263671875,382.6537779292632,356.866064286959,376.8182967575446,2832076
2004-01-13,363.30230712890625,367.29274881160944,349.013937909429,360.42746378709336,4974616
2004-01-14,372.61334228515625,375.7885207857125,364.71825430461604,364.71825430461604,3261830
2004-01-15,369.9530944824219,390.16276911865936,366.77788931834385,390.16276911865936,5989636
2004-01-16,344.25103759765625,377.5905742181197,340.689677192258,373.12812968358753,6106161
2004-01-19,364.203369140625,369.7385157254101,335.9698894183604,345.066397409247,7850768
2004-01-20,348.02703857421875,370.21049645148713,343.3071550339057,367.97927354008766,7225533
2004-01-21,327.5598449707031,355.1925949653138,321.8101596428268,348.41313283996715,6790202
2004-01-22,318.7207946777344,342.7492879400791,314.6016348797813,325.2428195153095,7530811
2004-01-23,356.5228271484375,360.4274473524964,321.381140555976,323.5265420283123,9635197
2004-01-26,356.5228271484375,356.5228271484375,356.5228271484375,356.5228271484375,0
2004-01-27,370.1675720214844,375.70269205807693,292.71857955080435,364.46080939302027,7134689
2004-01-28,359.31182861328125,376.56083451800146,354.93520462100156,374.93033472961764,9705337
2004-01-29,372.2699890136719,378.8778348882197,355.57878414138304,360.4273853976269,10131822
2004-01-30,370.5108337402344,381.6240238265653,343.3500563772703,343.3500563772703,8149375
